id,imdb_id,belongs_to_collection,poster_path,original_title,title,genres,status,release_date,release_year,runtime,cast,crew,overview,spoken_languages,popularity2,rating,totalVotes,budget,revenue
11,tt0075148,"[{'id': 1575, 'name': 'Rocky Collection', 'poster_path': '/mCY5dMkSSFQufGCViI6jNUU6pXq.jpg', 'backdrop_path': '/w4h6gjdWPvmu5R9H6zeGDPo1ZuV.jpg'}]",/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg,Rocky,Rocky,['Drama'],Released,11/21/1976,1976,119.0,"['Sylvester Stallone', 'Talia Shire', 'Burt Young']",['John G. Avildsen'],"When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer  Mickey Goldmill to make the most of this once in a lifetime break.",['English'],22.44,7.7,3388.0,1000000,117235147
12,tt0093857,"[{'id': 48190, 'name': 'Revenge of the Nerds Collection', 'poster_path': '/qOnoXEdrSnBuS3FMAFRIgyJSM2r.jpg', 'backdrop_path': None}]",/1KTi0wJQfyi8YnAjuP1xQ0Hr9m4.jpg,Revenge of the Nerds II: Nerds in Paradise,Revenge of the Nerds II: Nerds in Paradise,['Comedy'],Released,7/10/1987,1987,98.0,"['Robert Carradine', 'Curtis Armstrong', 'Larry B. Scott']",['Joe Roth'],"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!",['English'],6.332000000000001,5.4,102.0,0,22642033
13,tt0169547,,/or1MP8BZIAjqWYxPdPX724ydKar.jpg,American Beauty,American Beauty,['Drama'],Released,9/15/1999,1999,122.0,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",['Sam Mendes'],"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",['English'],16.217,8.0,6016.0,15000000,356296601
14,tt0377471,"[{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}]",/ekKCH7Zkb5ZTr1f1AczZY23FH.jpg,Be Cool,Be Cool,"['Comedy', 'Crime']",Released,3/4/2005,2005,118.0,"['John Travolta', 'Uma Thurman', 'Vince Vaughn']",['F. Gary Gray'],"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music exec on the way.","['English', 'Pусский']",7.968,5.4,429.0,53000000,95226116
15,tt0181689,,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,Minority Report,Minority Report,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",Released,6/20/2002,2002,145.0,"['Tom Cruise', 'Colin Farrell', 'Samantha Morton']",['Steven Spielberg'],"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.","['English', 'svenska']",16.768,7.3,4272.0,102000000,358372926
16,tt1129437,,/88l8VBanH0lS5Wvzu2qgkGcsfQi.jpg,Šišanje,Skinning,"['Action', 'Crime', 'Drama']",Released,10/6/2010,2010,97.0,"['Nikola Rakoƒçeviƒá', 'Viktor Saviƒá', 'Nata≈°a Tapu≈°koviƒá']",['Stevan Filipoviƒá'],"Novica is a mathematics champion in a Belgrade high school. In an attempt to overcome the ‘geek’ status at school, Novica becomes attracted to the world of skinheads by his school friend Relja. Novica is exposed to violence, hooliganism and racism; embracing the ideology and climbing up the ladder in the gang hierarchy.",['Srpski'],1.797,5.9,22.0,500000,198
17,tt0421239,,/rTDa8Ald7iiES01zJJkcM9ikd0l.jpg,Red Eye,Red Eye,"['Horror', 'Thriller']",Released,8/4/2005,2005,85.0,"['Rachel McAdams', 'Cillian Murphy', 'Brian Cox']",['Wes Craven'],"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.","['English', 'Pусский']",7.797999999999999,6.2,807.0,26000000,57891803
18,tt1700845,,/cIMdqerF4DuVEYnkSQPWLc9qAc2.jpg,The Invisible Woman,The Invisible Woman,"['Drama', 'Romance']",Released,12/25/2013,2013,111.0,"['Ralph Fiennes', 'Felicity Jones', 'Joanna Scanlan']",['Ralph Fiennes'],"In 1857, at the height of his fame and fortune, novelist and social critic Charles Dickens meets and falls in love with teenage stage actress Nelly Ternan. As she becomes the focus of his heart and mind, as well as his muse, painful secrecy is the price both must pay.",['English'],6.02,6.0,108.0,0,1234254
19,tt1487118,,/64AQrBEKJVSIRaocOCtkMqExToz.jpg,Chalet Girl,Chalet Girl,"['Comedy', 'Romance']",Released,2/2/2011,2011,96.0,"['Felicity Jones', 'Ed Westwick', 'Brooke Shields']",['Phil Traill'],"While working a job at an exclusive ski resort to support her Dad, Kim learns to snowboard and is so good at it that she enters a competition with a huge cash prize. She has to dig deep to overcome her fears, but her life gets more complicated through her spoken-for boss, Jonny.","['Deutsch', 'English']",6.582000000000001,6.3,348.0,8000000,1749457
20,tt0388482,"[{'id': 9518, 'name': 'The Transporter Collection', 'poster_path': '/uakYnYtFxqjS8pjEWW9lGWmdMRz.jpg', 'backdrop_path': '/qDuTIGAEbxF3jP9zNILLAoxNLpU.jpg'}]",/bZKkwfQf4mHYlNbmViNjmAN60zY.jpg,Transporter 2,Transporter 2,"['Action', 'Thriller', 'Crime']",Released,8/2/2005,2005,87.0,"['Jason Statham', 'Amber Valletta', 'Kate Nauta']",['Louis Leterrier'],"Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.","['English', 'Français', 'Italiano']",21.022,6.2,1651.0,32000000,85167639
21,tt0120738,,/kkBDPkUnYwAkWbYY2bnyf5ANObA.jpg,Lost in Space,Lost in Space,"['Adventure', 'Family', 'Science Fiction']",Released,4/3/1998,1998,130.0,"['Gary Oldman', 'William Hurt', 'Matt LeBlanc']",['Stephen Hopkins'],"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.",['English'],10.819,5.2,584.0,80000000,136159423
22,tt0083972,"[{'id': 9735, 'name': 'Friday the 13th Collection', 'poster_path': '/uobgqpLQff9WvxGKE2OSvXv1RHm.jpg', 'backdrop_path': '/c7pMKwv5NzIN6N3KM4L8fYMTtPw.jpg'}]",/5wg2NZyIhcMbIBAahBODXHyJ54S.jpg,Friday the 13th Part III,Friday the 13th Part III,"['Horror', 'Thriller']",Released,8/13/1982,1982,95.0,"['Dana Kimmell', 'Paul Kratka', 'Tracie Savage']",['Steve Miner'],"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",['English'],9.533,5.7,480.0,4000000,36690067
23,tt2105044,"[{'id': 207621, 'name': 'V/H/S Collection', 'poster_path': '/esfk62fcqTWqB90dAHaVMbDWmbM.jpg', 'backdrop_path': '/wSdVm0uxEvYlwMxOAhipUUzey4w.jpg'}]",/yo49x6Jhr1ecCjy1ByFqwAbtARJ.jpg,V/H/S,V/H/S,"['Thriller', 'Horror']",Released,7/28/2012,2012,116.0,"['Calvin Lee Reeder', 'Lane Hughes', 'Adam Wingard']","['Joe Swanberg', 'Matt Bettinelli-Olpin', 'Glenn McQuaid', 'Ti West', 'Adam Wingard', 'David Bruckner', 'Tyler Gillett', 'Justin Martinez', 'Chad Villella', 'Radio Silence']","When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",['English'],6.947,5.8,577.0,0,100345
24,tt1687277,,/7oJksA5Bi7UdrVZhudIg6GaHpRz.jpg,InSight,InSight,"['Thriller', 'Mystery', 'Foreign']",Released,9/2/2011,2011,92.0,"['Max Perlich', 'Lesley-Ann Brandt', 'Matt Knudsen']",['Richard Gabai'],"Kaitlyn, an ER nurse who is tending to a young stabbing victim, is accidentally electrocuted by the defibrillator that is used in an effort to save the woman's life. Almost immediately Kaitlyn starts to experience the victim's memories. She turns to family, friends, and the police, but no one takes her seriously. She decides that she must take it upon herself to try to solve the crime - or risk the terrifying visions ending in her own sanity being at stake. Ultimately Kaitlyn teams up with the detective on the case and weaves her way through the victim's past - to discover not only the brutal truth, but also some very unexpected lessons about life, love, sorrow and forgiveness along the way. (official website)",['English'],2.04,5.0,15.0,0,17011
25,tt0779982,,/8YoL8WSHv7UKTq7iziI7SrRmdql.jpg,Black Sheep,Black Sheep,"['Horror', 'Comedy']",Released,9/9/2006,2006,87.0,"['Nathan Meister', 'Peter Feeney', 'Danielle Mason']",['Jonathan King'],A genetic engineering experiment gone horribly awry turns a large flock of docile sheep into unrelenting killing machines in this rural horror comedy directed by Jonathan King and featuring special effects designed by Weta Workshop.,"['English', 'Français', 'Italiano']",5.031000000000001,5.7,298.0,0,4947717
26,tt0104139,,/5JDLNXWiSCVRLur0oziJk6q5VVk.jpg,Dr. Giggles,Dr. Giggles,"['Comedy', 'Horror', 'Mystery', 'Thriller']",Released,10/23/1992,1992,95.0,"['Larry Drake', 'Holly Marie Combs', 'Cliff DeYoung']",['Manny Coto'],"In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim.",['English'],3.4339999999999997,5.4,50.0,0,8403433
27,tt0120176,,/cwkWlWfFrvH6WW6ovX5gfGHo7ks.jpg,The Spanish Prisoner,The Spanish Prisoner,"['Crime', 'Drama', 'Mystery', 'Thriller']",Released,9/8/1997,1997,110.0,"['Steve Martin', 'Campbell Scott', 'Ben Gazzara']",['David Mamet'],An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,['English'],6.732,7.1,110.0,10000000,13835130
28,tt1486834,,/g5vPBCJbBX36oikg68brcl7PU5a.jpg,What If,What If,"['Drama', 'Comedy', 'Romance']",Released,9/7/2013,2013,93.0,"['Daniel Radcliffe', 'Zoe Kazan', 'Rafe Spall']",['Michael Dowse'],"Wallace, a medical school dropout, has been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan, seems to be finding the perfect partner, Wallace decides to put his love life on hold.  It is then that he meets Chantry, an animator who lives with her long term boyfriend Ben.  Wallace and Chantry form an instant connection, striking up a close friendship. But there is no denying the chemistry between them, leading the pair to wonder:  what if the love of your life is actually your best friend?",['English'],9.716000000000001,6.7,1095.0,11000000,7847000
29,tt0092106,,/yGuQ2lz41EgjbnPeimXR9klTOoq.jpg,The Transformers: The Movie,The Transformers: The Movie,['Animation'],Released,8/8/1986,1986,84.0,"['Judd Nelson', 'Peter Cullen', 'Frank Welker']",['Nelson Shin'],"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","['English', '日本語']",8.685,7.0,192.0,6000000,5849647
30,tt0264472,,/dCTVH1kl3aIkUmWpMT5STLAwsPs.jpg,Changing Lanes,Changing Lanes,"['Action', 'Adventure', 'Crime', 'Thriller']",Released,4/7/2002,2002,89.0,"['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton']",['Roger Michell'],"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",['English'],8.175,6.1,466.0,45000000,94935764
31,tt1675434,,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,Intouchables,The Intouchables,"['Drama', 'Comedy']",Released,11/2/2011,2011,112.0,"['Fran√ßois Cluzet', 'Omar Sy', 'Audrey Fleurot']","['Eric Toledano', 'Olivier Nakache']",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,"['English', 'Français']",18.026,8.2,9202.0,13000000,426480871
32,tt0387898,,/i1Zl8S4DgM3IDLW5dhZzBnIdCOe.jpg,Caché,Caché,"['Mystery', 'Drama', 'Thriller']",Released,5/2/2005,2005,117.0,"['Daniel Auteuil', 'Juliette Binoche', 'Annie Girardot']",['Michael Haneke'],A married couple is terrorized by a series of videotapes planted on their front porch.,['Français'],7.507999999999999,7.1,394.0,0,36000000
33,tt1618442,,/xw1GFKzxjgfm3dQoK1swFcHmfaC.jpg,The Last Witch Hunter,The Last Witch Hunter,"['Fantasy', 'Action', 'Adventure']",Released,10/21/2015,2015,106.0,"['Vin Diesel', 'Rose Leslie', 'Elijah Wood']",['Breck Eisner'],"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",['English'],14.552,5.8,2057.0,90000000,146936910
34,tt2926810,"[{'id': 207632, 'name': 'The ABCs of Death Collection', 'poster_path': '/fzrKAtcg75Je7N0NereOdKePHDM.jpg', 'backdrop_path': None}]",/npN4yjO7MLg1ouMUF4VZ87ChiO1.jpg,ABCs of Death 2,ABCs of Death 2,['Horror'],Released,10/2/2014,2014,125.0,"['Eric Jacobus', 'Julian Barratt', 'Ian Virgo']","['Rodney Ascher', 'Bill Plympton', 'Erik Matti', 'Lancelot Oduwa Imasuen', 'Kristina Buozyte', 'Bruno Samper', 'Vincenzo Natali', 'Larry Fessenden', 'Julien Maury', 'Alexandre Bustillo', 'E.L. Katz', 'Jen Soska', 'Aharon Keshales', 'Navot Papushado', 'Julian Gilbey', 'Dennison Ramalho', 'Jerome Sable', 'Robert Morgan', 'Sylvia Soska', 'Chris Nash', 'Hajime Ohata', 'S√¥ichi Umezawa', 'Todd Rohal', 'Julian Barratt', 'Alejandro Brugu√©s', 'Jim Hosking', 'Robert Boocheck', 'Marvin Kren', 'Juan Mart√≠nez Moreno', 'Steven Kostanski']","Taking all that was great from the first installment, ABCs OF DEATH 2 aims to be a wilder, leaner, faster paced and even more entertaining anthology this time around, with a new crop of award-winning, visionary filmmakers from around the globe.","['العربية', 'English', 'Français', 'Deutsch', 'עִבְרִית', '日本語', 'Português']",6.584,5.2,142.0,0,7171
35,tt0293564,"[{'id': 90863, 'name': 'Rush Hour Collection', 'poster_path': '/pTjvzlYByJuZ4TTkmlHIe4aDFy2.jpg', 'backdrop_path': '/uoDt3eCCKpcxSQVWjPTgN8T0gjm.jpg'}]",/qgaDWYLrnEPJpc5Lp35WbgX7GfS.jpg,Rush Hour 3,Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']",Released,8/8/2007,2007,91.0,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada']",['Brett Ratner'],"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.","['Latin', 'English', 'Français', '日本語', '普通话']",9.083,6.2,1343.0,140000000,258022233
36,tt1656190,,/eoiqqDHohBCDwFWQOvczUeNoixK.jpg,Safe,Safe,"['Action', 'Crime', 'Thriller']",Released,4/16/2012,2012,94.0,"['Jason Statham', 'Chris Sarandon', 'James Hong']",['Boaz Yakin'],"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","['English', '普通话', 'Pусский']",12.616,6.3,1158.0,30000000,40346186
37,tt0199314,,/w0WvlhjBRKMKcmaMoca57ofIvCH.jpg,About Adam,About Adam,"['Comedy', 'Romance']",Released,1/28/2000,2000,105.0,"['Kate Hudson', ""Frances O'Connor"", 'Tommy Tiernan']",['Gerard Stembridge'],"A waitress falls for a handsome customer who seduces her, her two sisters, her brother, and her brother's girlfriend.",['English'],3.898,5.3,57.0,0,151559
38,tt0114069,,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,Outbreak,Outbreak,"['Action', 'Drama', 'Science Fiction', 'Thriller']",Released,3/10/1995,1995,127.0,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']",['Wolfgang Petersen'],"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.","['English', '한국어/조선말', 'Français']",9.901,6.4,801.0,50000000,189859560
39,tt2710368,,/4VYYvaHtnrQcxQGLaDFRLxCEpyw.jpg,Final: The Rapture,Final: The Rapture,['Thriller'],Released,9/13/2013,2013,90.0,"['Jah Shams', 'Mary Grace', 'Masashi Nagadoi']",['Timothy A. Chey'],"A gritty, international tale of four separate stories woven together by a common theme: the Rapture.","['English', '日本語', 'Español']",0.0,0.0,0.0,0,92100
40,tt0059418,,/bwLMwKun3RNn9rmcfMfJw11ofNh.jpg,Major Dundee,Major Dundee,"['War', 'Western']",Released,4/7/1965,1965,123.0,"['Charlton Heston', 'Richard Harris', 'Jim Hutton']",['Sam Peckinpah'],"During the last winter of the Civil War, cavalry officer Amos Dundee leads a contentious troop of Army regulars, Confederate prisoners and scouts on an expedition into Mexico to destroy a band of Apaches who have been raiding U.S. bases in Texas.","['English', 'Français', 'Español']",5.586,6.5,56.0,3800000,14873
41,tt0380268,"[{'id': 376970, 'name': 'Cocaine Cowboys', 'poster_path': '/ysCY4Q91US7zEr78raJBc27KPxF.jpg', 'backdrop_path': '/3vT6FzqHeT7onqUAMjKk7FqARRD.jpg'}]",/1Kqwllyvr4n3rLMvH2K17bavxT3.jpg,Cocaine Cowboys,Cocaine Cowboys,"['Action', 'Documentary']",Released,4/26/2006,2006,118.0,"['Jon Roberts', 'Jorge Ayala']",['Billy Corben'],"In the 1980s, ruthless Colombian cocaine barons invaded Miami with a brand of violence unseen in this country since Prohibition-era Chicago - and it put the city on the map. ""Cocaine Cowboys"" is the true story of how Miami became the drug, murder and cash capital of the United States, told by the people who made it all happen.",['English'],5.857,7.5,77.0,0,163000
42,tt0061512,,/vDwphkloD7ToaDpKASAXGgHOclN.jpg,Cool Hand Luke,Cool Hand Luke,"['Crime', 'Drama']",Released,6/22/1967,1967,126.0,"['Paul Newman', 'George Kennedy', 'Luke Askew']",['Stuart Rosenberg'],"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn't play by the rules of either the sadistic warden or the yard's resident heavy, Dragline, who ends up admiring the new guy's unbreakable will. Luke's bravado, even in the face of repeated stints in the prison's dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.",['English'],10.433,7.8,593.0,3000000,16217773
43,tt0156841,,/9GzP7WODLwpwxl8WaVpziI68w2n.jpg,The Next Best Thing,The Next Best Thing,['Comedy'],Released,3/3/2000,2000,108.0,"['Madonna', 'Rupert Everett', 'Benjamin Bratt']",['John Schlesinger'],"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.","['Français', 'English']",3.7510000000000003,4.6,55.0,25000000,24362772
44,tt2933544,,/5S3K1vpIYhFu5pJU4sxv95kTHxd.jpg,5 Flights Up,5 Flights Up,['Drama'],Released,9/5/2014,2014,92.0,"['Morgan Freeman', 'Diane Keaton', 'Carrie Preston']",['Richard Loncraine'],A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,['English'],6.121,5.9,138.0,6000000,1020921
45,tt0372532,,/A2m90ko1FCnJqEkpbHwMq3BDgx6.jpg,The Wedding Date,The Wedding Date,"['Comedy', 'Romance']",Released,2/4/2005,2005,88.0,"['Debra Messing', 'Dermot Mulroney', 'Amy Adams']",['Clare Kilner'],"With the wedding of her younger sister fast approaching, Kat Ellis faces the undesirable prospect of traveling alone to London for the ceremony. While this is bad enough, Jeffrey, the man who left her as they moved closer to marriage, happens to be the groom's best man. Determined to show everyone -- most of all Jeffrey -- that her romantic life is as full and thrilling as ever, Kat hires a charming male escort as her date.",['English'],9.717,6.5,490.0,15000000,47175038
46,tt1379222,,/paPqh4ERDdVMecAIvhxqBacfFNy.jpg,La doppia ora,The Double Hour,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",Released,10/9/2009,2009,95.0,"['Kseniya Rappoport', 'Filippo Timi', 'Antonia Truppo']",['Giuseppe Capotondi'],A chambermaid and a former cop meet at a speed dating event and a romance develops. But during a romantic getaway things suddenly take a turn for the worse when her mysterious past is revealed.,"['Italiano', 'Español']",4.015,6.2,41.0,3906840,4300000
